,0,1,2,3,4,5,6
0,ソロウニコ,https://tabelog.com/mie/A2401/A240101/24014064/,3.8,"￥6,000～￥7,999",－,和牛イチボのグリエに、ブルネッロ♡,久しぶりにソロウニコさんで週末ディナー！<br><br>事前予約時にいつも通りワインの持ち込みをお願いしました^_^ 最近ドハマリのブルネッロ ディ モンタルチーノのカパルツォ2010をチョイス！いざ<br><br>♦︎ネッチョリマグロを初夏らしいジュレソースでいただく抜群の前菜！シチリアの白ワインで迎え撃ちます<br><br>♦︎今が旬^_^ 北海道トウモロコシのビシソワーズ<br>甘ーい<br><br>♦︎海鮮グリル<br>イカ、海老、夏野菜色々 素晴らしい<br><br>♦︎和牛イチボのグリル<br>これを食べに来ました 赤ワインが引き立つ^_^<br><br>♦︎ワタリガニと白葱のクリームスパ！<br>白葱が効いていて旨い！ 生パスタなら更によかった<br><br>♦︎デザート<br>フワサクッとクレムブリュレ<br><br>♦︎コーヒー！ 旨い！<br><br>こちらのお店もお若いご夫婦で経営されていてアットホームなカジュアルイタリアン<br>最後にシェフが出てこられてサービスの奥様も交えて暫しワインの話で談笑^_^ 柔らかな雰囲気のお店です<br>この界隈ではかなり人気のお店でそれも頷けます<br><br>ご馳走さまでした〜 ありがとうございます<br>またワイン持ち込みお願いしま〜す
1,cafe HIBIKI,https://tabelog.com/tokyo/A1311/A131101/13091066/,3.6,－,～￥999,私はお前を手に入れたのだよ。,サロメが好きだ。<br>どんな手段も厭わず、自分の思いを遂げる女性、サロメ。<br>しかしながら私自身は、その足元にも及ばないのだけれど。<br><br>平日休日。<br>大好きなクリムトの展示を観に、上野の森へ。<br>私の好きな温かで包容力のあるクリムトと言うよりは<br>今回は、女性ならではの「力」を感じる様な展示であったと思われた・・・学の浅い私の感触ではあるのだけれども。<br><br>大正デモクラシーの渦中にあった女優「松井須磨子」。<br>彼女がマダム定奴と双頭を分け合い、時の舞台女優の地位を確たるものにした舞台「サロメ」。<br>どんな手段も厭わず、<br>自分の欲するものを手に入れた女性の象徴。<br>・・・当時、小学生だった私は震えを覚えはしても否定はしない自分自信をどうするかなどは思いは及ばなかった。<br>ユデットⅡが、まさに「サロメ」である。<br>この日・・・私が出会ったユディットⅠ・・・その爽やかな笑顔に圧倒されつつ、<br>否定しづらい感触を覚えた。<br><br>図録を買い求め、<br>上野の馴染の場所へ・・・展示に群がる人ごみは苦手なので<br>表示を確認して自宅またな近隣で図録で確認するのが常となった。<br><br>ここのカフェはそんなおさらいを<br>世界遺産を観つつ、もどかしさを整える事ができる、丁度良い場所だ・・・雨天以外の日に限られはするのだけれど。<br><br>この日はハードシードルを、ひとつ。<br>図録を紐解き、行間をゆっくりなぞる。<br><br>達成感を積み重ねてはその経験を醸し出す女性は・・・なんと匂い立つような魅力にあふれているのであろう。<br><br>そうならなうように（だって現代社会なんだしねえ・・・）私自身は<br>好きになった相手の首はそのまま据え置いては<br>自分自身の前を進んでいこうかと思う<br>遅遅として進まぬ日常がある、と、言うことで。
2,よねさん,https://tabelog.com/tokyo/A1312/A131202/13176407/,4.9,－,－,デラックス刺身定食,【火曜と金曜】は、よねさんランチやってます❗️<br><br>今日もいろんなお魚を求めに、開店を目指してやってきます<br>少し前に到着すると、いつものように札がOPENになっていたので店内に入ります<br><br>カウンターの上の紙メニューから、今日も選んだのはもちろんデラックスです！<br><br>よねさんは注文を受け付けると調理にかかるので、提供までには結構時間を要します(特に混雑時)<br>刺身を切り分けて盛り付け終わると、奥に準備されているお膳と合体して着膳です！<br><br>おっと、焦って写真撮る前に食べようとして醤油を少し入れちゃった(^◇^;)<br><br>さて、お味は…<br><br>まずは、恒例の当たらない小鉢から！<br>左から①②③とすると、<br>①里芋のポテトサラダ<br>②イカの煮物<br>③白菜の漬物<br><br>お椀は、キャベツと里芋の味噌汁です<br>黒胡椒みたいなのが入っているようで、ややパンチのある仕上がりになっていました<br><br>刺身は、書いてあるのが８種類<br>実際は、10種類かな？<br>イカと何かの白身魚がシークレットですね<br><br>小鉢にはかなり柔らかく調理されたイカが、刺身には歯ごたえあるイカが提供されていてその真逆な歯ごたえの違いが楽しめてよかったです<br><br>サバがとろっとろで、まるでサバじゃないような味わいでした<br><br>金目鯛や鯛の脂ノリもよく、甘くて蕩けるような美味しさが堪りませんね<br><br>そして、ご飯がカニ飯になっていましたo(^o^)o<br>もともと美味しいお米【仁多米】がカニの旨みを吸い取ったらどれ程美味しいか、一度でも【仁多米】を食べた方にはその味を容易に想像できると思います<br><br>今日は、おかわり前にお供え物をいただきありがとうございます( ^ω^ )<br>温かいうちにと言うことなので、序盤に急いで食べさせていただきました<br>お供え物現物はもちろんのこと、煮汁が美味しくて最後皿に残っていたヤツも飲んでしまいました<br><br>なかなかカニ飯で煮付けや刺身を食べる機会がないので戸惑いましたが、とりあえず刺身につけた醤油をカニ飯にバウンドさせて更なる旨みを付け加えながら食します<br><br>白身魚を食しながらあっという間になくなったカニ飯の後に、当然のことながらいつもの白米verの【仁多米】のおかわりをします<br><br>カニ飯も美味いけどやっぱり白米が刺身に一番合うなぁ〜と堪能しながら、鮪を初めとする濃厚系の刺身を満喫しました<br><br>お昼が近づくにつれてお客さんがたくさん来て、今日も狭い店内は大盛況でした
3,バーブ,https://tabelog.com/miyagi/A0401/A040101/4006542/,3.4,"￥4,000～￥4,999",～￥999,チキン南蛮@広瀬通,"お気に入りの""チキン南蛮""なので、こちらへ。<br><br>鶏はいつもより小ぶりながら、いつもより甘めのタレ、これ位が好きかも。<br><br>珍しく付け合せにマカロニサラダ。マヨネーズ感増し増しでコレも嬉しい。<br><br>大盛ライスなれど足りない...我慢がまん（笑）。<br><br>#チキン南蛮"
4,羊のロッヂ,https://tabelog.com/tokyo/A1305/A130503/13206663/,3.3,－,"￥1,000～￥1,999",子連れでジンギスカンランチ,週末に子連れで西早稲田の羊のロッジでランチ。最寄りは面影橋になるのか？早稲田通り沿い。<br><br>ジンギスカンだしこじんまりとした店だし、子連れでこれるのか？と疑問だったけど、余裕だった。子供たちも成長したなあ。<br><br>子供用メニューはないけど、ジンギスカンランチを2つ頼んでシェアすればいいや。足りなかったら追加のお肉やご飯もできるし。<br><br>ちょっと変わったお鍋で、うえで肉を焼き、下ではしゃぶしゃぶをする。野菜はしゃぶしゃぶで。<br><br>お肉が柔らかくてびっくり。それでも子供にはちょっと噛み切れない個所もあったみたいだけど、それでもよく食べていた。肉厚で、レアでもおいしい。<br><br>たれにつけていただきます！野菜はもやし、しめじ、玉ねぎ。これにご飯がついて1000円。今度は夜来てみたい。
5,海鮮居酒や 小鉢,https://tabelog.com/hokkaido/A0101/A010103/1006753/,3.8,"￥2,000～￥2,999",－,カニ、キンキと素材な海鮮処 × 海鮮居酒や 小鉢,いらっしゃいまし。<br><br>---------- 2019.06 ----------<br>南6西4<br>仲通りのTM29ビル1F奥 |o| °д°)ﾉガラララ<br><br>このフロアには行啓エリアから移転してきた味浪漫あり<br>職人感出た大将とホールネェさんが切り盛りしてました<br>カニやキンキとかモノと鮮度と高級感あるバリエーション<br><br>ポン酒も普段お見えしないレアものばかり<br>限定だった福司しぼりたて(= ´∀´)ﾉ凵゛<br><br>鹿ロース炙り<br>しゃぶしゃぶ用のスライスニクを炙った一皿<br>さらっと炙ったビジュアル<br>脂乗ってるロースは融点低い鹿にはすぐ固まり<br>やわらかさより固まった脂舌触りが気になる<br>しゃぶしゃぶ用のニクはやはりしゃぶしゃぶ用に向いてます<br>わさび醤油と合わせる<br>もっと厚めで部位もロースよりももの方が合うかと思う<br><br>〆的にブルベリいただいた<br>旬の食材にこだわってる<br><br>魚系喰べる時には最適
6,珈琲・レオ,https://tabelog.com/kanagawa/A1401/A140307/14028903/,3.2,－,～￥999,コーヒーは若干苦味がある本格的な味,珈琲・レオ<br><br>上大岡の赤い風船近くにある昔ながらの喫茶店<br><br>人気の無い雑居ビル地下にあり、階段から降りる際は少し不安が過る<br>降り口は、鎌倉街道沿いと佐野金横の2箇所ある<br>この地下だが、昔は「珈琲館」だった場所だが、今では経営は異なり、全く別の喫茶店だとの事<br><br>店内は意外と広い<br>ウッディなカウンター8席、テーブル4名テーブル5個程度<br>白壁、レンガ壁、フローリング、ウッドがふんだんに使われており、意外と言っては失礼に当たるかも知れないが、お洒落な造りだ<br>階段を降りてきた際に一抹の不安を感じたが、ここに解消された<br>BGMはアメリカンオールディーズが流れる<br>喫煙可能<br><br>初老のご夫婦が2人で切り盛りされているようだ<br>気さくな感じのマスター<br>奥様は外国訛りがある<br><br><br>主なメニューは以下<br>【セットメニュー】<br>ナポリタンスパゲティー780円<br>ミートスパゲティー780円<br>中華風スパゲティー780円<br>明太子スパゲティー780円<br>焼うどん780円<br>ソース焼きそば780円<br>中華風焼きそば780円<br>オムライス800円<br>エビピラフ800円<br>カレーピラフ800円<br>カレーライス800円<br>コーヒーOr紅茶付<br>大盛100円増<br>タマゴトースト650円<br>ハムトースト680円<br>トースト(玉子サラダ付)680円<br>ミックスサンド780円<br>ホットケーキ650円<br>コーヒーOr紅茶付<br><br>モーニングセット(Open~11:00)(トースト、玉子サラダ、コーヒー付)480円<br>【ドリンク】<br>ブレンドコーヒー360円 大400円<br>アメリカン360円<br>紅茶(レモン.ミルク)360円<br>ウィンナーコーヒー450円<br>ココア450円<br>カフェ.オレ450円<br>アイス.コーヒー370円 大400円<br>アイスティー370円<br>アイスオーレ450円<br>アイスウィンナー450円<br>アイスココア450円<br>クリームソーダ450円<br>レモンスカッシュ450円<br>コーラ380円<br>トマトジュース380円<br>オレンジジュース380円<br>アイスミルク380円<br>アイスクリーム450円<br>氷(イチゴ、メロン、抹茶)400円<br><br><br>チーズケーキなどのケーキは無い<br>無い物ねだりなのだが、ちょっぴり残念だ<br><br><br>ミートスパゲッティー大盛を注文した<br><br>チーズ粉、タバスコが先に置かれ、暫くしてからミートソーススパゲッティが来た<br>柔らかな太い麺は、レトルト生麺そのもの<br>ミートソースは、業務用缶のタイプのような味で、全体的にとても甘く挽肉の存在を感じない<br>昔ながらの懐かしい味だ<br>しかし残念ながら、美味しいとは言いにくい<br>大盛量は充分ある<br><br>添えられているサラダは、キャベツ、レタスに刻玉子マヨネーズとサウザンドレッシング<br><br>何も言わずとも冷水のお代わりが来た<br>タイミングが良く、気が利いている！<br>と思ったら、続けて食後のホットコーヒーが来た<br>ついでだったのかな<br>まだスパゲッティを食べている間なのだが…<br><br>コーヒーは薫り高く、若干の苦味がある本格的なもの<br>なかなか美味しい<br><br><br>次回は、オムライスを注文しようかな<br><br><br>■2019/5<br>モーニングセット480円は内容を考えれば安いかも
7,山葵,https://tabelog.com/osaka/A2701/A270107/27012759/,3.2,－,～￥999,,ちょこっと盛<br>泡盛水割り×2
8,selva,https://tabelog.com/osaka/A2701/A270306/27109572/,3.5,－,－,アイスコーヒーでモーニングセットをいただきました(^｡^),selva セルバ 自転車で走っていて偶然お店をみつけました。<br><br>店内はカウンター 6席<br>テーブル 4人掛けが2つでした。<br>男性がひとりで切り盛りされていました。<br><br>ホームページやフェイスブック、ネット上にお店の情報があふれていましたが、食べログの情報はまだないようでした。<br><br>自家焙煎、たくさんの種類の珈琲豆はなさそうですが、本格派コーヒー専門店になるようです。<br><br>私の知る限りでは布施駅周辺では、本格派珈琲専門店は数軒みたいで、その中の1軒になるようです。<br><br>珈琲専門店は珈琲、紅茶だけでモーニングサービスをやっていないお店も多いですが、最近はチーズケーキやコーヒーゼリーなど、サイドメニューのあるお店が増えているように思います。<br><br>今回はアイスコーヒーにモーニングセットでいただきました。<br><br>アイスコーヒーは、注文を受けてから豆を挽いて、氷に熱いコーヒーを淹れて、挽きたて、淹れたてのアイスコーヒーです。<br><br>私はアイスコーヒーは作り置きでもよいと思いますが、コンビニコーヒーなども、大手の年間、億単位のコーヒーが販売されスケールメリットの珈琲豆に豆の皮を除く最先端の抽出で挽きたて淹れたてなので、喫茶店も挽きたて淹れたては、見ためでも香りや味がよりおいしくなりそうです。<br><br>添加物のあるコーヒーフレッシュやガムシロップじゃなく、生クリーム、シロップでした。<br><br>それからこちらは、最近、さりげなくよく見かけるネルドリップのコーヒーでした。<br><br>ネルドリップは珈琲豆がペーパードリップなどに比べてよりたくさん必要で、アイスコーヒーも必要、ネルドリップはさらに手間がかかるので、あまりやっているお店は少ないですが、それでも、かなりみかけて、ネルドリップ、本格派珈琲のお店はホットコーヒーを飲むことが多いです。<br><br>今回は、そんなネルドリップのお店でも、アイスコーヒーに差が出ることも多いのでアイスコーヒーにしました。<br><br>私好みのアメリカン的なアイスコーヒーでとってもおいしかったです。<br><br>プレミアムな珈琲「マヤビニックオリガニコ」、ロイヤルミルクティーやカフェインレスなど、興味のあるメニューもたくさんありました。<br><br>カウンター横にはカステラの販売があって、モーニングサービスも盛りだくさんの喫茶店に負けない内容でした。<br><br>それから、ゆで卵が珍しく半熟でした(^｡^)
9,秋田ふるさと館,https://tabelog.com/tokyo/A1301/A130102/13058435/,4.5,－,"￥2,000～￥2,999",いぶりがっこを求めて,2019年6月9日（日）１３：２７（レシートより）<br>こんにちは～～<br>交通会館に買い物に来ました。<br>秋田県で食べた「いぶりがっこ」が恋しくて<br>スマホで検索！<br>いぶりたくあん無着色648円<br>商品を刻んでポテトサラダと合えて食べました。<br>チョ～～美味しかったです。<br>がっきー494円<br>ポリポリ固いが美味しいね＾。＾”
